"species","ind","length(unique(leaf))"
"ACMA",1,6
"ACMA",2,6
"ACMA",3,6
"ARME",1,6
"ARME",2,6
"ARME",3,6
"CEOL",1,12
"HEAR",1,6
"HEAR",2,6
"HEAR",3,6
"LIDE",1,30
"LIDE",2,6
"LIDE",3,6
"PIPO",1,24
"PIPO",2,24
"PIPO",3,24
"PSME",1,24
"PSME",2,24
"PSME",3,24
"QUAG",1,6
"QUAG",2,6
"QUAG",3,6
"QUCH",1,6
"QUCH",2,6
"QUCH",3,6
"QUKE",1,6
"QUKE",2,6
"QUKE",3,6
"QUPA",1,12
"QUPA",2,12
"QUPA",3,12
"RHCA",1,6
"RHCA",2,6
"RHCA",3,6
"SESE",1,24
"SESE",2,24
"SESE",3,24
"TODI",1,6
"TODI",2,6
"TODI",3,6
"UMCA",1,30
"UMCA",2,6
"UMCA",3,6
"VAOV",1,12
"VAOV",2,12
"VAOV",3,12
