"species.ind","trt","rep1","rep2","rep3","rep4","rep5","rep6"
"SESE.1","T",1021,1022,1023,1024,1025,1026
"SESE.1","W",1027,1028,1029,1030,1031,1032
"SESE.2","T",1033,1034,1035,1036,1037,1038
"SESE.2","W",1039,1040,1041,1042,1043,1044
"SESE.3","T",1045,1046,1047,1048,1049,1050
"SESE.3","W",1051,1052,1053,1054,1055,1056
"PSME.1","T",1057,1058,1059,1060,1061,1062
"PSME.1","W",1063,1064,1065,1066,1067,1068
"PSME.2","T",1069,1070,1071,1072,1073,1074
"PSME.2","W",1075,1076,1077,1078,1079,1080
"PSME.3","T",1081,1082,1083,1084,1085,1086
"PSME.3","W",1087,1088,1089,1090,1091,1092
"PIPO.1","T",1093,1094,1095,1096,1097,1098
"PIPO.1","W",1099,1100,1101,1102,1103,1104
"PIPO.2","T",1105,1106,1107,1108,1109,1110
"PIPO.2","W",1111,1112,1113,1114,1115,1116
"PIPO.3","T",1117,1118,1119,1120,1121,1122
"PIPO.3","W",1123,1124,1125,1126,1127,1128
"UMCA.1","T",1129,1130,1131,1132,1133,1134
"UMCA.1","W",1135,1136,1137,1138,1139,1140
"LIDE.1","T",1141,1142,1143,1144,1145,1146
"LIDE.1","W",1147,1148,1149,1150,1151,1152
