V1,V2,V3,V4,sp1,sp2,sig
1,2,2.7728314333815454,5.306188447721805,LIDED,PIPO,TRUE
1,3,0.4122168399941619,2.2876432351023355,LIDED,PSME,TRUE
1,4,0.5851516419447162,2.466577975883191,LIDED,SESE,TRUE
1,5,-0.6968856010834693,1.5840664855645,LIDED,UMCAD,FALSE
2,3,-3.8862759521580674,-1.642621690020003,PIPO,PSME,TRUE
2,4,-3.6881770216256817,-1.4456838001635701,PIPO,SESE,TRUE
2,5,-4.999285568543441,-2.3084418186701403,PIPO,UMCAD,TRUE
3,4,-0.5074261975383301,0.9330515641328831,PSME,SESE,FALSE
3,5,-1.9437737653054743,0.03748939331259443,PSME,UMCAD,FALSE
4,5,-2.099512548640977,-0.11779105585027193,SESE,UMCAD,TRUE
