"coef","lower","upper","est","SE","species"
".sig01",1.00000002361132,1.85734960354404,NA,NA,NA
"speciesACMA",212.485763929953,1048.02880195512,481.63772454489,1.51741650072692,"ACMA"
"speciesARME",8.73410203910357,43.3883342609383,20.0787463162228,1.51057234699303,"ARME"
"speciesHEAR",11.3231904562328,54.6193334805851,25.4132049418258,1.50991409245714,"HEAR"
"speciesLIDE",13.3893845080203,72.2097478070863,32.6580274994964,1.50902459741699,"LIDE"
"speciesQUAG",22.9019153229938,119.17101227574,56.3494903361443,1.50750750410369,"QUAG"
"speciesQUCH",12.1222104983524,63.1385617282923,29.1660109527599,1.51038574968386,"QUCH"
"speciesQUKE",69.8110675380873,347.780269253686,164.922623451876,1.51765292357376,"QUKE"
"speciesQUPA",60.0324492593787,320.150938888639,134.550995373963,1.51204371455088,"QUPA"
"speciesRHCA",33.47984727509,174.252622261386,79.1662685343413,1.52087712845132,"RHCA"
"speciesTODI",53.2998014891851,268.649833844426,130.512060290333,1.50871317392975,"TODI"
"speciesUMCA",90.3688981649597,483.021447149439,220.992685887335,1.50919189652212,"UMCA"
"speciesVAOV",12.6035348496047,63.3833917836724,28.414755406343,1.50968047772032,"VAOV"
