"value","SE","P","lower","upper"
7,5.432,0.198,-3.61536593920233,17.6150036166485
-0.048,0.026,0.06,-0.0987474277449356,0.00180719090093418
-0.694,0.533,0.193,-1.73564513024559,0.347540942250175
0.211,0.05,0,0.112913039712718,0.308449281290138
22.136,1.086,0,20.0137240848876,24.2574984569346
0.003,0.006,0.672,-0.00911296158413677,0.0141504666107872
-0.024,0.163,0.885,-0.341256721048141,0.294090221616971
-0.049,0.012,0,-0.0732961194270939,-0.0248757978050475
2.879,0.875,0.001,1.16983264240426,4.58810911885097
0,0.005,0.986,-0.0100060422111539,0.00983256748907173
0.176,0.138,0.203,-0.0937345842594764,0.444736666101551
0.061,0.01,0,0.0406925880834292,0.0804584319129574
